index,Name,Aces,Double Faults,Service Points Won,Break Points Converted,Sets Won,Tiebreaks Won,Wins,Match Duration,Year
4455,Andrei Medvedev,7.2,4.2,48.4,2,0.6,0.2,0.2,98.2,1997
4456,Alex O'Brien,4.2,2.4,55.4,2.2,1,0,0.2,75.6,1997
4457,Cedric Pioline,6.8,3.2,50.2,2,1,0,0.4,103,1997
4458,Bohdan Ulihrach,3.2,2,41.6,2.2,1,0.2,0.4,95.4,1997
4459,Adrian Voinea,7,1.8,39.8,0.8,0.6,0.2,0.4,92.8,1997
4460,Bohdan Ulihrach,4.2,2.6,49.6,2.6,1.4,0.4,0.6,100.2,1997
4461,Adrian Voinea,7,2.4,36.8,0.4,0.2,0,0.2,96.2,1997
4462,Goran Ivanisevic,14,4.8,50.6,2.2,1.4,0,0.6,117.4,1997
4463,Magnus Larsson,9.6,4,56.6,2.2,1.6,0.2,0.6,116,1997
4464,Chris Woodruff,7.2,4.4,64.4,2.6,1.8,0.4,0.8,85.2,1997
4465,Gustavo Kuerten,15.2,2.4,52.8,2.6,1.6,0.6,0.8,82.2,1997
4466,Carlos Moya,4,2.4,51.6,4,1.6,0.4,0.6,91.4,1997
4467,Alberto Berasategui,4.6,3,43.2,2.8,1.2,0.4,0.6,113,1997
4468,Alex Corretja,5.8,3,49.4,3.4,1,0,0.2,95.2,1997
4469,Jeff Tarango,2,2.8,37.4,1.6,0.8,0.4,0.4,97.8,1997
4470,Alex O'Brien,6.8,3,51.8,2.2,1,0,0.2,75.4,1997
4471,Francisco Clavet,2.6,2.8,48.6,2,0.8,0.2,0.4,86.6,1997
4472,Mark Philippoussis,17.6,5.2,57,1.8,2,1.2,1,88.6,1997
4473,Cedric Pioline,6.6,2.6,49,2,1.4,0,0.6,102.4,1997
4474,Slava Dosedel,3.8,3,50,4.2,1.2,0,0.4,106.6,1997
4475,Marc Rosset,9.8,6.8,50.8,2.8,1.4,0.2,0.6,115,1997
4476,Chris Woodruff,7.6,5,58.4,3,1.6,0.2,0.6,87.6,1997
